,Interception Probability,Server ID,Processed Tasks,Successful Attacks,Attacks Dropped,Resource Utilization,Average Processing Time (ms),Computational Overhead (ms),Average Decryption Time (ms),Detection Rate,Average Encryption Time (ms)
0,0.1,1,2195,272,272,655.75,3006.40,3006.40,15.15,100.00%,4.88
1,0.1,2,2533,240,0,760.50,3020.89,3020.89,15.07,0.00%,4.88
2,0.2,1,2017,491,491,608.40,3037.47,3037.47,14.37,100.00%,4.85
3,0.2,2,2492,469,0,752.10,3038.79,3038.79,14.42,0.00%,4.85
4,0.3,1,1784,728,728,533.65,3016.98,3016.98,15.94,100.00%,5.36
5,0.3,2,2488,745,0,747.35,3029.47,3029.47,15.94,0.00%,5.36
6,0.4,1,1465,1023,1023,442.30,3058.11,3064.37,20.08,100.00%,6.43
7,0.4,2,2509,1028,0,754.75,3044.71,3044.71,19.68,0.00%,6.43
8,0.5,1,1200,1269,1269,365.15,3081.29,3083.86,21.95,100.00%,7.18
9,0.5,2,2528,1221,0,759.50,3045.08,3047.48,22.26,0.00%,7.18
